Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,113.949997,118.989998,112.680000,112.820000,110.252762,231366600
2020-09-09,117.260002,119.139999,115.260002,117.320000,114.650360,176940500
2020-09-10,120.360001,120.500000,112.500000,113.489998,110.907509,182274400
2020-09-11,114.570000,115.230003,110.000000,112.000000,109.451431,180860300
2020-09-14,114.720001,115.930000,112.800003,115.360001,112.734978,140150100
2020-09-15,118.330002,118.830002,113.610001,115.540001,112.910866,184642000
2020-09-16,115.230003,116.000000,112.040001,112.129997,109.578468,154679000
2020-09-17,109.720001,112.199997,108.709999,110.339996,107.829193,178011000
2020-09-18,110.400002,110.879997,106.089996,106.839996,104.408821,287104900
2020-09-21,104.540001,110.190002,103.099998,110.080002,107.575104,195713800
2020-09-22,112.680000,112.860001,109.160004,111.809998,109.265755,183055400
2020-09-23,111.620003,112.110001,106.769997,107.120003,104.682480,150718700
2020-09-24,105.169998,110.250000,105.000000,108.220001,105.757431,167743300
2020-09-25,108.430000,112.440002,107.669998,112.279999,109.725052,149981400
2020-09-28,115.010002,115.320000,112.779999,114.959999,112.344078,137672400
2020-09-29,114.550003,115.309998,113.570000,114.089996,111.493858,99382200
2020-09-30,113.790001,117.260002,113.620003,115.809998,113.174728,142675200
2020-10-01,117.639999,117.720001,115.830002,116.790001,114.132423,116120400
2020-10-02,112.889999,115.370003,112.220001,113.019997,110.448212,144712000
2020-10-05,113.910004,116.650002,113.550003,116.500000,113.849030,106243800
2020-10-06,115.699997,116.120003,112.250000,113.160004,110.585037,161498200
2020-10-07,114.620003,115.550003,114.129997,115.080002,112.461334,96849000
2020-10-08,116.250000,116.400002,114.589996,114.970001,112.353828,83477200
2020-10-09,115.279999,117.000000,114.919998,116.970001,114.308319,100506900
2020-10-12,120.059998,125.180000,119.279999,124.400002,121.569244,240226800
2020-10-13,125.269997,125.389999,119.650002,121.099998,118.344345,262330500
2020-10-14,121.000000,123.029999,119.620003,121.190002,118.432312,150712000
2020-10-15,118.720001,121.199997,118.150002,120.709999,117.963226,112559200
2020-10-16,121.279999,121.550003,118.809998,119.019997,116.311676,115393800
2020-10-19,119.959999,120.419998,115.660004,115.980003,113.340866,120639300
2020-10-20,116.199997,118.980003,115.629997,117.510002,114.836044,124423700
2020-10-21,116.669998,118.709999,116.449997,116.870003,114.210617,89946000
2020-10-22,117.449997,118.040001,114.589996,115.750000,113.116104,101988000
2020-10-23,116.389999,116.550003,114.279999,115.040001,112.422241,82572600
2020-10-26,114.010002,116.550003,112.879997,115.050003,112.432022,111850700
2020-10-27,115.489998,117.279999,114.540001,116.599998,113.946754,92276800
2020-10-28,115.050003,115.430000,111.099998,111.199997,108.669624,143937800
2020-10-29,112.370003,116.930000,112.199997,115.320000,112.695869,146129200
2020-10-30,111.059998,111.989998,107.720001,108.860001,106.382889,190272600
2020-11-02,109.110001,110.680000,107.320000,108.769997,106.294914,122866900
2020-11-03,109.660004,111.489998,108.730003,110.440002,107.926918,107624400
2020-11-04,114.139999,115.589996,112.349998,114.949997,112.334290,138235500
2020-11-05,117.949997,119.620003,116.870003,119.029999,116.321449,126387100
2020-11-06,118.320000,119.199997,116.129997,118.690002,116.189293,114457900
2020-11-09,120.500000,121.989998,116.050003,116.320000,113.869225,154515300
2020-11-10,115.550003,117.589996,114.129997,115.970001,113.526611,138023400
2020-11-11,117.190002,119.629997,116.440002,119.489998,116.972450,112295000
2020-11-12,119.620003,120.529999,118.570000,119.209999,116.698326,103162300
2020-11-13,119.440002,119.669998,117.870003,119.260002,116.747292,81581900
2020-11-16,118.919998,120.989998,118.150002,120.300003,117.765396,91183000
2020-11-17,119.550003,120.669998,118.959999,119.389999,116.874550,74271000
2020-11-18,118.610001,119.820000,118.000000,118.029999,115.543198,76322100
2020-11-19,117.589996,119.059998,116.809998,118.639999,116.140350,74113000
2020-11-20,118.639999,118.769997,117.290001,117.339996,114.867737,73604300
2020-11-23,117.180000,117.620003,113.750000,113.849998,111.451271,127959300
2020-11-24,113.910004,115.849998,112.589996,115.169998,112.743462,113874200
2020-11-25,115.550003,116.750000,115.169998,116.029999,113.585342,76499200
2020-11-27,116.570000,117.489998,116.220001,116.589996,114.133537,46691300
2020-11-30,116.970001,120.970001,116.809998,119.050003,116.541718,169410200
2020-12-01,121.010002,123.470001,120.010002,122.720001,120.134392,127728200
2020-12-02,122.019997,123.370003,120.889999,123.080002,120.486816,89004200
2020-12-03,123.519997,123.779999,122.209999,122.940002,120.349770,78967600
2020-12-04,122.599998,122.860001,121.519997,122.250000,119.674294,78260400
2020-12-07,122.309998,124.570000,122.250000,123.750000,121.142693,86712000
2020-12-08,124.370003,124.980003,123.089996,124.379997,121.759407,82225500
2020-12-09,124.529999,125.949997,121.000000,121.779999,119.214195,115089200
2020-12-10,120.500000,123.870003,120.150002,123.239998,120.643440,81312200
2020-12-11,122.430000,122.760002,120.550003,122.410004,119.830933,86939800
2020-12-14,122.599998,123.349998,121.540001,121.779999,119.214195,79184500
2020-12-15,124.339996,127.900002,124.129997,127.879997,125.185692,157243700
